,A,B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner
78,7,4,0,0.5275000000000001,0.76,0.6495215311004784,0.47248803827751196,0.5,0.5,0.3333333333333333,0.24761904761904763,0.297,-0.789,0.637643378519291,0.5046923879040668,0.0,0.0,0,0,0
79,9,6,0,1.0000000000000002,0.53,0.6423444976076554,0.5490430622009569,0.2,0.5,0.3066666666666667,0.33333333333333337,-0.191,-0.483,0.7106360792492179,0.6616266944734098,0.0,1.0,0,0,0
80,2,11,0,0.9650000000000001,0.4075000000000002,0.7667464114832535,0.7045454545454545,0.222222222,0.818181818,0.32,0.28571428571428575,0.203,-0.35200000000000004,0.7831074035453598,0.6272158498435871,0.0,1.0,0,0,1
81,0,1,1,0.95,0.76,0.7691387559808612,0.0,0.6,0.333333333,0.5066666666666666,0.46666666666666673,0.951,0.311,0.7424400417101147,0.7106360792492179,1.0,0.0,0,0,0
82,4,6,0,0.76,0.53,0.47248803827751196,0.5490430622009569,0.5,0.5,0.17333333333333334,0.48571428571428577,-0.789,-0.483,0.5046923879040668,0.6616266944734098,0.5,0.5,0,0,1
83,7,9,0,0.5275000000000001,1.0000000000000002,0.6495215311004784,0.6423444976076554,0.5,0.2,0.13333333333333336,0.48571428571428577,0.297,-0.191,0.637643378519291,0.7106360792492179,0.0,1.0,0,0,1
84,0,2,0,0.95,0.9650000000000001,0.7691387559808612,0.7667464114832535,0.6,0.222222222,0.5066666666666666,0.49523809523809526,0.951,0.203,0.7424400417101147,0.7831074035453598,0.0,1.0,0,0,0
85,11,6,1,0.4075000000000002,0.53,0.7045454545454545,0.5490430622009569,0.818181818,0.5,0.56,0.2761904761904762,-0.35200000000000004,-0.483,0.6272158498435871,0.6616266944734098,0.0,0.0,0,0,0
86,4,1,0,0.76,0.76,0.47248803827751196,0.0,0.5,0.333333333,0.52,0.5428571428571429,-0.789,0.311,0.5046923879040668,0.7106360792492179,1.0,0.0,0,0,1
87,2,7,0,0.9650000000000001,0.5275000000000001,0.7667464114832535,0.6495215311004784,0.222222222,0.5,0.29333333333333333,0.39047619047619053,0.203,0.297,0.7831074035453598,0.637643378519291,1.0,0.0,0,0,0
88,9,11,1,1.0000000000000002,0.4075000000000002,0.6423444976076554,0.7045454545454545,0.2,0.818181818,0.1866666666666667,0.29523809523809524,-0.191,-0.35200000000000004,0.7106360792492179,0.6272158498435871,1.0,0.0,0,0,1
89,0,6,0,0.95,0.53,0.7691387559808612,0.5490430622009569,0.6,0.5,0.56,0.5047619047619049,0.951,-0.483,0.7424400417101147,0.6616266944734098,1.0,0.0,0,0,0
90,7,1,0,0.5275000000000001,0.76,0.6495215311004784,0.0,0.5,0.333333333,0.2,0.34285714285714286,0.297,0.311,0.637643378519291,0.7106360792492179,0.5,0.5,0,0,1
91,2,6,1,0.9650000000000001,0.53,0.7667464114832535,0.5490430622009569,0.222222222,0.5,0.49333333333333335,0.4285714285714286,0.203,-0.483,0.7831074035453598,0.6616266944734098,0.0,1.0,0,0,1
92,11,0,0,0.4075000000000002,0.95,0.7045454545454545,0.7691387559808612,0.818181818,0.6,0.25333333333333335,0.3523809523809524,-0.35200000000000004,0.951,0.6272158498435871,0.7424400417101147,1.0,0.0,0,0,1
93,7,9,0,0.5275000000000001,1.0000000000000002,0.6495215311004784,0.6423444976076554,0.5,0.2,0.4133333333333334,0.37142857142857144,0.297,-0.191,0.637643378519291,0.7106360792492179,0.0,1.0,0,0,0
94,4,1,1,0.76,0.76,0.47248803827751196,0.0,0.5,0.333333333,0.29333333333333333,0.44761904761904764,-0.789,0.311,0.5046923879040668,0.7106360792492179,1.0,0.0,0,0,1
95,2,11,0,0.9650000000000001,0.4075000000000002,0.7667464114832535,0.7045454545454545,0.222222222,0.818181818,0.36000000000000004,0.28571428571428575,0.203,-0.35200000000000004,0.7831074035453598,0.6272158498435871,0.0,1.0,0,0,0
96,4,9,1,0.76,1.0000000000000002,0.47248803827751196,0.6423444976076554,0.5,0.2,0.3066666666666667,0.43809523809523815,-0.789,-0.191,0.5046923879040668,0.7106360792492179,1.0,0.0,0,0,1
97,6,7,0,0.53,0.5275000000000001,0.5490430622009569,0.6495215311004784,0.5,0.5,0.48000000000000004,0.4,-0.483,0.297,0.6616266944734098,0.637643378519291,1.0,0.0,0,0,1
98,1,2,1,0.76,0.9650000000000001,0.0,0.7667464114832535,0.333333333,0.222222222,0.5466666666666666,0.4761904761904762,0.311,0.203,0.7106360792492179,0.7831074035453598,1.0,0.0,0,0,0
99,0,9,0,0.95,1.0000000000000002,0.7691387559808612,0.6423444976076554,0.6,0.2,0.49333333333333335,0.31428571428571433,0.951,-0.191,0.7424400417101147,0.7106360792492179,1.0,0.0,0,0,1
100,11,7,0,0.4075000000000002,0.5275000000000001,0.7045454545454545,0.6495215311004784,0.818181818,0.5,0.36000000000000004,0.24761904761904763,-0.35200000000000004,0.297,0.6272158498435871,0.637643378519291,1.0,0.0,0,0,0
101,1,6,1,0.76,0.53,0.0,0.5490430622009569,0.333333333,0.5,0.3066666666666667,0.3523809523809524,0.311,-0.483,0.7106360792492179,0.6616266944734098,0.0,1.0,0,0,1
102,7,0,0,0.5275000000000001,0.95,0.6495215311004784,0.7691387559808612,0.5,0.6,0.4533333333333333,0.33333333333333337,0.297,0.951,0.637643378519291,0.7424400417101147,0.0,0.0,0,0,1
103,4,2,1,0.76,0.9650000000000001,0.47248803827751196,0.7667464114832535,0.5,0.222222222,0.21333333333333337,0.4761904761904762,-0.789,0.203,0.5046923879040668,0.7831074035453598,1.0,0.0,0,0,1
104,6,2,1,0.53,0.9650000000000001,0.5490430622009569,0.7667464114832535,0.5,0.222222222,0.32,0.43809523809523815,-0.483,0.203,0.6616266944734098,0.7831074035453598,1.0,0.0,0,0,0
105,1,11,0,0.76,0.4075000000000002,0.0,0.7045454545454545,0.333333333,0.818181818,0.26666666666666666,0.2285714285714286,0.311,-0.35200000000000004,0.7106360792492179,0.6272158498435871,0.0,1.0,0,0,0
106,0,4,0,0.95,0.76,0.7691387559808612,0.47248803827751196,0.6,0.5,0.52,0.5333333333333334,0.951,-0.789,0.7424400417101147,0.5046923879040668,0.0,0.0,0,0,1
107,1,9,0,0.76,1.0000000000000002,0.0,0.6423444976076554,0.333333333,0.2,0.29333333333333333,0.2571428571428572,0.311,-0.191,0.7106360792492179,0.7106360792492179,1.0,0.0,0,0,1
108,11,4,1,0.4075000000000002,0.76,0.7045454545454545,0.47248803827751196,0.818181818,0.5,0.4133333333333334,0.2761904761904762,-0.35200000000000004,-0.789,0.6272158498435871,0.5046923879040668,1.0,0.0,0,0,1
109,0,6,0,0.95,0.53,0.7691387559808612,0.5490430622009569,0.6,0.5,0.46666666666666673,0.2761904761904762,0.951,-0.483,0.7424400417101147,0.6616266944734098,1.0,0.0,0,0,0
110,7,1,1,0.5275000000000001,0.76,0.6495215311004784,0.0,0.5,0.333333333,0.2,0.5714285714285715,0.297,0.311,0.637643378519291,0.7106360792492179,0.5,0.5,0,0,1
111,9,2,0,1.0000000000000002,0.9650000000000001,0.6423444976076554,0.7667464114832535,0.2,0.222222222,0.24,0.6095238095238096,-0.191,0.203,0.7106360792492179,0.7831074035453598,1.0,0.0,0,0,0
112,1,2,1,0.76,0.9650000000000001,0.0,0.7667464114832535,0.333333333,0.222222222,0.4533333333333333,0.8,0.311,0.203,0.7106360792492179,0.7831074035453598,1.0,0.0,0,0,1
113,0,9,1,0.95,1.0000000000000002,0.7691387559808612,0.6423444976076554,0.6,0.2,0.49333333333333335,0.5619047619047619,0.951,-0.191,0.7424400417101147,0.7106360792492179,1.0,0.0,0,0,1
114,2,9,1,0.9650000000000001,1.0000000000000002,0.7667464114832535,0.6423444976076554,0.222222222,0.2,0.21333333333333337,0.34285714285714286,0.203,-0.191,0.7831074035453598,0.7106360792492179,0.0,1.0,0,0,0
115,4,2,1,1.0000000000000002,0.18000000000000016,0.6399521531100478,0.5909090909090908,0.384615385,0.473684211,0.3066666666666667,0.5904761904761905,-0.341,-0.297,0.586548488008342,0.7805005213764338,0.3,0.7,0,0,0
116,7,11,0,0.6025,0.6700000000000002,0.5263157894736842,0.5466507177033493,0.5,0.7333333329999999,0.72,0.37142857142857144,1.084,-0.514,0.7294056308654849,0.6021897810218978,0.0,1.0,1,0,0
117,6,1,1,0.41000000000000014,1.0000000000000002,0.4055023923444976,0.8899521531100477,0.571428571,0.533333333,0.38666666666666666,0.37142857142857144,-0.478,0.021,0.6287799791449427,0.8571428571428572,1.0,0.0,0,0,1
118,9,4,1,0.4950000000000001,1.0000000000000002,0.5251196172248803,0.6399521531100478,0.46153846200000004,0.384615385,0.12,0.580952380952381,0.21899999999999997,-0.341,0.8571428571428572,0.586548488008342,0.5,0.5,0,1,1
119,2,0,0,0.18000000000000016,0.2925,0.5909090909090908,0.6267942583732057,0.473684211,0.583333333,0.56,0.3238095238095238,-0.297,0.374,0.7805005213764338,0.7283628779979145,0.7,0.3,0,1,0
120,11,1,1,0.6700000000000002,1.0000000000000002,0.5466507177033493,0.8899521531100477,0.7333333329999999,0.533333333,0.4266666666666667,0.5714285714285715,-0.514,0.021,0.6021897810218978,0.8571428571428572,0.0,0.0,1,0,1
121,6,9,0,0.41000000000000014,0.4950000000000001,0.4055023923444976,0.5251196172248803,0.571428571,0.46153846200000004,0.46666666666666673,0.580952380952381,-0.478,0.21899999999999997,0.6287799791449427,0.8571428571428572,0.0,0.0,0,1,1
122,0,4,0,0.2925,1.0000000000000002,0.6267942583732057,0.6399521531100478,0.583333333,0.384615385,0.21333333333333337,0.4285714285714286,0.374,-0.341,0.7283628779979145,0.586548488008342,1.0,0.0,0,1,0
123,7,1,1,0.6025,1.0000000000000002,0.5263157894736842,0.8899521531100477,0.5,0.533333333,0.6933333333333334,0.5333333333333334,1.084,0.021,0.7294056308654849,0.8571428571428572,1.0,0.0,0,0,0
124,11,9,1,0.6700000000000002,0.4950000000000001,0.5466507177033493,0.5251196172248803,0.7333333329999999,0.46153846200000004,0.21333333333333337,0.5619047619047619,-0.514,0.21899999999999997,0.6021897810218978,0.8571428571428572,1.0,0.0,0,1,1
125,1,0,0,1.0000000000000002,0.2925,0.8899521531100477,0.6267942583732057,0.533333333,0.583333333,0.49333333333333335,0.5333333333333334,0.021,0.374,0.8571428571428572,0.7283628779979145,0.6,0.4,0,0,1
126,2,6,1,0.18000000000000016,0.41000000000000014,0.5909090909090908,0.4055023923444976,0.473684211,0.571428571,0.5466666666666666,0.2571428571428572,-0.297,-0.478,0.7805005213764338,0.6287799791449427,0.0,1.0,0,0,0
127,11,4,0,0.6700000000000002,1.0000000000000002,0.5466507177033493,0.6399521531100478,0.7333333329999999,0.384615385,0.5466666666666666,0.36190476190476195,-0.514,-0.341,0.6021897810218978,0.586548488008342,0.6,0.4,1,0,0
128,7,9,0,0.6025,0.4950000000000001,0.5263157894736842,0.5251196172248803,0.5,0.46153846200000004,0.4000000000000001,0.5238095238095238,1.084,0.21899999999999997,0.7294056308654849,0.8571428571428572,0.3,0.7,1,0,1
