team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
RPS,RCB,RCB,764,613,719,692,0,0.527272727,60,46,0.015,0.932,486.5,959,0,0,away,home,RCB,611,normal,field,0,0,7,V Kohli,CB Gaffaney,BNJ Oxenford,,M Chinnaswamy Stadium
KXIP,DC,DC,662,610,563,580,0.448275862,0.410714286,45,51,-0.646,-0.155,364,959,0.56,0.44,away,away,KXIP,612,normal,field,0,9,0,MP Stoinis,HDPK Dharmasena,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
SRH,MI,MI,603,659,650,393,0.35,0.553846154,51,32,0.245,-0.146,825.5,566,0.3,0.7,away,away,SRH,613,normal,field,0,85,0,A Nehra,S Ravi,C ShamshuDCin,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
KKR,GL,GL,610,513,833,500,0.53968254,0,28,46,0.106,-0.374,559,630.5,0,0,home,away,GL,614,normal,field,0,0,5,P Kumar,M Erasmus,RJ Tucker,,Eden Gardens
RCB,KXIP,KXIP,613,662,692,563,0.527272727,0.448275862,56,50,0.932,-0.646,959,364,0.375,0.625,away,away,RCB,615,normal,field,0,1,0,SR Watson,AK Chaudhary,HDPK Dharmasena,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
SRH,RPS,SRH,603,764,650,719,0.35,0,34,25,0.245,0.015,825.5,486.5,0,0,away,away,SRH,616,normal,bat,0,4,0,A Zampa,CB Gaffaney,VK Sharma,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
RCB,MI,MI,613,659,692,393,0.527272727,0.553846154,25,39,0.932,-0.146,959,566,0.47,0.53,home,away,MI,617,normal,field,0,0,6,KH Pandya,AY Dandekar,C ShamshuDCin,,M Chinnaswamy Stadium
SRH,DC,DC,603,610,650,580,0.35,0.410714286,51,50,0.245,-0.155,825.5,959,0.83,0.17,home,away,DC,618,normal,field,0,0,7,CH Morris,K Bharatan,M Erasmus,,"Rajiv Gandhi International Stadium, Uppal"
MI,KXIP,MI,659,662,393,563,0.553846154,0.448275862,21,32,-0.146,-0.646,566,364,0.5,0.5,away,away,KXIP,619,normal,bat,0,0,7,MP Stoinis,HDPK Dharmasena,CK Nandan,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
RCB,GL,GL,613,513,692,500,0.527272727,0,42,41,0.932,-0.374,959,630.5,0,0,home,away,RCB,620,normal,field,0,144,0,AB de Villiers,AY Dandekar,VK Sharma,,M Chinnaswamy Stadium
RPS,KKR,RPS,764,610,719,833,0,0.53968254,37,66,0.015,0.106,486.5,559,0,0,away,home,KKR,621,normal,bat,1,0,8,YK Pathan,A Nand Kishore,BNJ Oxenford,,Eden Gardens
KXIP,SRH,KXIP,662,603,563,650,0.448275862,0.35,47,55,-0.646,0.245,364,825.5,0.3,0.7,away,away,SRH,622,normal,bat,0,0,7,HM Amla,KN Ananthapadmanabhan,M Erasmus,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
MI,DC,DC,659,610,393,580,0.553846154,0.410714286,45,49,-0.146,-0.155,566,959,0.5,0.5,away,away,MI,623,normal,field,0,80,0,KH Pandya,Nitin Menon,CK Nandan,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
KKR,RCB,RCB,610,613,833,692,0.53968254,0.527272727,51,63,0.106,0.932,559,959,0.5,0.5,home,away,RCB,624,normal,field,0,0,9,V Kohli,CB Gaffaney,A Nand Kishore,,Eden Gardens
DC,RPS,RPS,610,764,580,719,0.410714286,0,28,44,-0.155,0.015,959,486.5,0,0,away,away,RPS,625,normal,field,1,19,0,AB Dinda,Nitin Menon,C ShamshuDCin,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
RCB,KXIP,KXIP,613,662,692,563,0.527272727,0.448275862,63,59,0.932,-0.646,959,364,0.375,0.625,home,away,RCB,626,normal,field,1,82,0,V Kohli,KN Ananthapadmanabhan,M Erasmus,,M Chinnaswamy Stadium
KKR,GL,GL,610,513,833,500,0.53968254,0,44,55,0.106,-0.374,559,630.5,0,0,away,away,GL,627,normal,field,0,0,6,DR Smith,AK Chaudhary,CK Nandan,,Green Park
SRH,DC,DC,603,610,650,580,0.35,0.410714286,46,37,0.245,-0.155,825.5,959,0.83,0.17,away,away,DC,628,normal,field,0,0,6,KK Nair,A Nand Kishore,BNJ Oxenford,,Shaheed Veer Narayan Singh International Stadium
KXIP,RPS,KXIP,662,764,563,719,0.448275862,0,52,44,-0.646,0.015,364,486.5,0,0,away,away,RPS,629,normal,bat,0,0,4,MS Dhoni,HDPK Dharmasena,Nitin Menon,,Dr. Y.S. Rajasekhara ReDCy ACA-VDECA Cricket Stadium
MI,GL,GL,659,513,393,500,0.553846154,0,49,70,-0.146,-0.374,566,630.5,0,0,away,away,GL,630,normal,field,0,0,6,SK Raina,AK Chaudhary,CK Nandan,,Green Park
KKR,SRH,SRH,610,603,833,650,0.53968254,0.35,48,48,0.106,0.245,559,825.5,0.7,0.3,home,away,KKR,631,normal,field,0,22,0,YK Pathan,KN Ananthapadmanabhan,M Erasmus,,Eden Gardens
DC,RCB,RCB,610,613,580,692,0.410714286,0.527272727,43,49,-0.155,0.932,959,959,0.36,0.64,away,away,RCB,632,normal,field,0,0,6,V Kohli,A Nand Kishore,BNJ Oxenford,,Shaheed Veer Narayan Singh International Stadium
GL,RCB,RCB,513,613,500,692,0,0.527272727,23,31,-0.374,0.932,630.5,959,0,0,away,home,RCB,633,normal,field,0,0,4,AB de Villiers,AK Chaudhary,HDPK Dharmasena,,M Chinnaswamy Stadium
SRH,KKR,KKR,603,610,650,833,0.35,0.53968254,43,46,0.245,0.106,825.5,559,0.3,0.7,away,away,SRH,634,normal,field,0,22,0,MC Henriques,M Erasmus,C ShamshuDCin,,Feroz Shah Kotla
GL,SRH,SRH,513,603,500,650,0,0.35,38,46,-0.374,0.245,630.5,825.5,0,0,away,away,SRH,635,normal,field,0,0,4,DA Warner,M Erasmus,CK Nandan,,Feroz Shah Kotla
SRH,RCB,SRH,603,613,650,692,0.35,0.527272727,59,59,0.245,0.932,825.5,959,0.5,0.5,away,home,SRH,636,normal,bat,0,8,0,BCJ Cutting,HDPK Dharmasena,BNJ Oxenford,,M Chinnaswamy Stadium
SRH,RCB,RCB,765,477,682,852,0.466666667,0.540983607,59,54,0.599,-1.299,688,464,0.56,0.44,home,away,SRH,1,normal,field,0,35,0,Yuvraj Singh,AY Dandekar,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
MI,RPS,RPS,697,477,644,707,0.554054054,0,61,59,0.784,0.176,592.5,0,0.5,0.5,away,away,RPS,2,normal,field,0,0,7,SPD Smith,A Nand Kishore,S Ravi,,Maharashtra Cricket Association Stadium
GL,KKR,KKR,650,623,518,560,0.75,0.550724638,52,73,-0.412,0.642,481,691,1,0,away,away,KKR,3,normal,field,0,0,10,CA Lynn,Nitin Menon,CK Nandan,,Saurashtra Cricket Association Stadium
RPS,KXIP,KXIP,477,637,707,580,0,0.40625,35,56,0.176,-0.009,0,618.5,0.5,0.5,away,home,KXIP,4,normal,field,0,0,6,GJ Maxwell,AK Chaudhary,C ShamshuDCin,,Holkar Cricket Stadium
RCB,DC,RCB,477,623,852,452,0.540983607,0.4375,41,43,-1.299,-0.512,464,464,0.625,0.375,home,away,RCB,5,normal,bat,0,15,0,KM Jadhav,,,,M Chinnaswamy Stadium
GL,SRH,SRH,650,765,518,682,0.75,0.466666667,40,59,-0.412,0.599,481,688,0,1,away,home,SRH,6,normal,field,0,0,9,Rashid Khan,A Deshmukh,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal"
KKR,MI,MI,623,697,560,644,0.550724638,0.554054054,59,49,0.642,0.784,691,592.5,0.28,0.72,away,home,MI,7,normal,field,0,0,4,N Rana,Nitin Menon,CK Nandan,,Wankhede Stadium
RCB,KXIP,RCB,477,637,852,580,0.540983607,0.40625,23,62,-1.299,-0.009,464,618.5,0.44,0.56,away,home,KXIP,8,normal,bat,0,0,8,AR Patel,AK Chaudhary,C ShamshuDCin,,Holkar Cricket Stadium
DC,RPS,RPS,623,477,452,707,0.4375,0,62,50,-0.512,0.176,464,0,0,1,away,away,DC,9,normal,field,0,97,0,SV Samson,AY Dandekar,S Ravi,,Maharashtra Cricket Association Stadium
SRH,MI,MI,765,697,682,644,0.466666667,0.554054054,34,61,0.599,0.784,688,592.5,0.5,0.5,away,home,MI,10,normal,field,0,0,4,JJ Bumrah,Nitin Menon,CK Nandan,,Wankhede Stadium
KXIP,KKR,KKR,637,623,580,560,0.40625,0.550724638,57,76,-0.009,0.642,618.5,691,0.32,0.68,away,home,KKR,11,normal,field,0,0,8,SP Narine,A Deshmukh,NJ Llong,,Eden Gardens
RCB,MI,MI,477,697,852,644,0.540983607,0.554054054,41,21,-1.299,0.784,464,592.5,0.42,0.58,home,away,MI,12,normal,field,0,0,4,KA Pollard,KN Ananthapadmanabhan,AK Chaudhary,,M Chinnaswamy Stadium
RPS,GL,GL,477,650,707,518,0,0.75,64,61,0.176,-0.412,0,481,0,1,away,away,GL,13,normal,field,0,0,7,AJ Tye,A Nand Kishore,S Ravi,,Saurashtra Cricket Association Stadium
KKR,SRH,SRH,623,765,560,682,0.550724638,0.466666667,40,45,0.642,0.599,691,688,0.67,0.33,home,away,KKR,14,normal,field,0,17,0,RV Uthappa,AY Dandekar,NJ Llong,,Eden Gardens
DC,KXIP,DC,623,637,452,580,0.4375,0.40625,49,40,-0.512,-0.009,464,618.5,0.44,0.56,away,away,DC,15,normal,bat,0,51,0,CJ Anderson,YC Barde,Nitin Menon,,Feroz Shah Kotla
