team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
DC,RPS,DC,623,477,452,707,0.4375,0,54,53,-0.512,0.176,464,0,0,1,away,away,DC,51,normal,bat,0,7,0,KK Nair,KN Ananthapadmanabhan,CK Nandan,,Feroz Shah Kotla
GL,SRH,SRH,650,765,518,682,0.75,0.466666667,61,47,-0.412,0.599,481,688,0,1,away,away,SRH,52,normal,field,0,0,8,Mohammed Siraj,AK Chaudhary,Nitin Menon,,Green Park
MI,KKR,KKR,697,623,644,560,0.554054054,0.550724638,51,53,0.784,0.642,592.5,691,0.72,0.28,away,home,MI,53,normal,field,0,9,0,AT Rayudu,A Nand Kishore,S Ravi,,Eden Gardens
KXIP,RPS,RPS,637,477,580,707,0.40625,0,32,43,-0.009,0.176,618.5,0,0.5,0.5,away,away,RPS,54,normal,field,0,0,9,JD Unadkat,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium
RCB,DC,RCB,477,623,852,452,0.540983607,0.4375,37,42,-1.299,-0.512,464,464,0.625,0.375,away,away,RCB,55,normal,bat,0,10,0,HV Patel,CK Nandan,C ShamshuDCin,,Feroz Shah Kotla
RPS,MI,MI,477,697,707,644,0,0.554054054,33,42,0.176,0.784,0,592.5,0.5,0.5,away,home,RPS,56,normal,field,0,20,0,Washington Sundar,S Ravi,C ShamshuDCin,,Wankhede Stadium
SRH,KKR,KKR,765,623,682,560,0.466666667,0.550724638,30,48,0.599,0.642,688,691,0.33,0.67,away,away,KKR,57,normal,field,1,0,7,NM Coulter-Nile,AK Chaudhary,Nitin Menon,,M Chinnaswamy Stadium
KKR,MI,MI,623,697,560,644,0.550724638,0.554054054,25,36,0.642,0.784,691,592.5,0.28,0.72,away,away,MI,58,normal,field,0,0,6,KV Sharma,NJ Llong,Nitin Menon,,M Chinnaswamy Stadium
MI,RPS,MI,697,477,644,707,0.554054054,0,32,38,0.784,0.176,592.5,0,0.5,0.5,away,away,MI,59,normal,bat,0,1,0,KH Pandya,NJ Llong,S Ravi,,"Rajiv Gandhi International Stadium, Uppal"
MI,CSK,CSK,590,648,475,667,0.564705882,0.636363636,40,42,0.317,0.253,737.5,791,0.56,0.44,home,away,CSK,7894,normal,field,0,0,1,DJ Bravo,Chris Gaffaney,A Nanda Kishore,Anil Chaudhary,Wankhede Stadium
DC,KXIP,KXIP,497,572,696,446,0.458333333,0.411764706,48,73,-0.22,-0.502,653.5,700,0.45,0.55,away,home,KXIP,7895,normal,field,0,0,6,KL Rahul,Rod Tucker,K Ananthapadmanabhan,Nitin Menon,"Punjab Cricket Association IS Bindra Stadium, Mohali"
RCB,KKR,KKR,722,497,611,657,0.5,0.564102564,57,71,0.129,-0.07,653.5,895.5,0.45,0.55,away,home,KKR,7896,normal,field,0,0,4,SP Narine,C ShamshuDCin,A.D Deshmukh,S Ravi,Eden Gardens
RR,SRH,SRH,549,621,637,690,0.53968254,0.485714286,51,60,-0.25,0.284,609.5,794,0.57,0.43,away,home,SRH,7897,normal,field,0,0,9,S Dhawan,Nigel Llong,Vineet Kulkarni,O Nandan,"Rajiv Gandhi International Stadium, Uppal"
KKR,CSK,CSK,497,648,657,667,0.564102564,0.636363636,65,75,-0.07,0.253,895.5,791,0.375,0.625,away,home,CSK,7898,normal,field,0,0,5,SW Billings,Anil Chaudhary,Chris Gaffaney,A Nanda Kishore,"MA Chidambaram Stadium, Chepauk"
RR,DC,DC,549,497,637,696,0.53968254,0.458333333,51,63,-0.25,-0.22,609.5,653.5,0.625,0.375,home,away,RR,7899,normal,field,1,10,0,SV Samson,K Ananthapadmanabhan,Rod Tucker,Nitin Menon,Sawai Mansingh Stadium
MI,SRH,SRH,590,621,475,690,0.564705882,0.485714286,59,57,0.317,0.284,737.5,794,0.5,0.5,away,home,SRH,7900,normal,field,0,0,1,Rashid Khan,O Nandan,Nigel Llong,Vineet Kulkarni,"Rajiv Gandhi International Stadium, Uppal"
KXIP,RCB,RCB,572,722,446,611,0.411764706,0.5,51,42,-0.502,0.129,700,653.5,0.65,0.35,away,away,RCB,7901,normal,field,0,0,4,UT Yadav,S Ravi,A.D Deshmukh,C ShamshuDCin,M Chinnaswamy Stadium
MI,DC,DC,590,497,475,696,0.564705882,0.458333333,90,53,0.317,-0.22,737.5,653.5,0.55,0.45,home,away,DC,7902,normal,field,0,0,7,JJ Roy,K Ananthapadmanabhan,Nitin Menon,Rod Tucker,Wankhede Stadium
KKR,SRH,SRH,497,621,657,690,0.564102564,0.485714286,49,50,-0.07,0.284,895.5,794,0.67,0.33,home,away,SRH,7903,normal,field,0,0,5,B Stanlake,A Nanda Kishore,Anil Chaudhary,Chris Gaffaney,Eden Gardens
RR,RCB,RCB,549,722,637,611,0.53968254,0.5,56,65,-0.25,0.129,609.5,653.5,0.47,0.53,away,away,RR,7904,normal,field,0,19,0,SV Samson,C ShamshuDCin,S Ravi,A.D Deshmukh,M Chinnaswamy Stadium
KXIP,CSK,CSK,572,648,446,667,0.411764706,0.636363636,76,58,-0.502,0.253,700,791,0.41,0.59,home,away,KXIP,7905,normal,field,0,4,0,CH Gayle,Vineet Kulkarni,O Nandan,Nigel Llong,"Punjab Cricket Association IS Bindra Stadium, Mohali"
KKR,DC,DC,497,497,657,696,0.564102564,0.458333333,50,62,-0.07,-0.22,895.5,653.5,0.63,0.37,home,away,KKR,7906,normal,field,0,71,0,N Rana,Anil Chaudhary,A Nanda Kishore,Chris Gaffaney,Eden Gardens
MI,RCB,RCB,590,722,475,611,0.564705882,0.5,71,57,0.317,0.129,737.5,653.5,0.62,0.38,home,away,MI,7907,normal,field,0,46,0,RG Sharma,Rod Tucker,Nitin Menon,K Ananthapadmanabhan,Wankhede Stadium
RR,KKR,KKR,549,497,637,657,0.53968254,0.564102564,49,53,-0.25,-0.07,609.5,895.5,0.6,0.4,home,away,KKR,7908,normal,field,0,0,7,N Rana,S Ravi,A.D Deshmukh,C ShamshuDCin,Sawai Mansingh Stadium
KXIP,SRH,KXIP,572,621,446,690,0.411764706,0.485714286,53,42,-0.502,0.284,700,794,0.2,0.8,home,away,KXIP,7909,normal,bat,0,15,0,CH Gayle,Nigel Llong,Anil Chaudhary,Vineet Kulkarni,"Punjab Cricket Association IS Bindra Stadium, Mohali"
CSK,RR,RR,648,549,667,637,0.636363636,0.53968254,70,37,0.253,-0.25,791,609.5,0.65,0.35,home,away,CSK,7910,normal,field,0,64,0,SR Watson,Nitin Menon,K Ananthapadmanabhan,Rod Tucker,Maharashtra Cricket Association Stadium
KKR,KXIP,KXIP,497,572,657,446,0.564102564,0.411764706,53,74,-0.07,-0.502,895.5,700,0.7,0.3,home,away,KXIP,7911,normal,field,1,0,9,KL Rahul,C ShamshuDCin,A.D Deshmukh,S Ravi,Eden Gardens
DC,RCB,RCB,497,722,696,611,0.458333333,0.5,31,44,-0.22,0.129,653.5,653.5,0.33,0.67,away,away,RCB,7912,normal,field,0,0,6,AB de Villiers,Chris Gaffaney,O Nandan,A Nanda Kishore,M Chinnaswamy Stadium
CSK,SRH,SRH,648,621,667,690,0.636363636,0.485714286,28,41,0.253,0.284,791,794,0.67,0.33,away,home,CSK,7913,normal,field,0,4,0,AT Rayudu,Anil Chaudhary,Vineet Kulkarni,Nigel Llong,"Rajiv Gandhi International Stadium, Uppal"
MI,RR,MI,590,549,475,637,0.564705882,0.53968254,44,44,0.317,-0.25,737.5,609.5,0.625,0.375,away,home,RR,7914,normal,bat,0,0,3,J Archer,Rod Tucker,K Ananthapadmanabhan,Nitin Menon,Sawai Mansingh Stadium
KXIP,DC,DC,572,497,446,696,0.411764706,0.458333333,52,52,-0.502,-0.22,700,653.5,0.55,0.45,away,away,KXIP,7915,normal,field,0,4,0,AS Rajpoot,O Nandan,A Nanda Kishore,Chris Gaffaney,Feroz Shah Kotla
SRH,MI,MI,621,590,690,475,0.485714286,0.564705882,61,23,0.284,0.317,794,737.5,0.5,0.5,away,home,SRH,7916,normal,field,0,31,0,Rashid Khan,C ShamshuDCin,S Ravi,A.D Deshmukh,Wankhede Stadium
RCB,CSK,CSK,722,648,611,667,0.5,0.636363636,52,56,0.129,0.253,653.5,791,0.37,0.63,away,away,CSK,7917,normal,field,0,0,5,MS Dhoni,Nigel Llong,Virender Kumar Sharma,Anil Chaudhary,M Chinnaswamy Stadium
SRH,KXIP,KXIP,621,572,690,446,0.485714286,0.411764706,39,44,0.284,-0.502,794,700,0.8,0.2,home,away,SRH,7918,normal,field,0,13,0,AS Rajpoot,O Nandan,Yeshwant Barde,Rod Tucker,"Rajiv Gandhi International Stadium, Uppal"
DC,KKR,KKR,497,497,696,657,0.458333333,0.564102564,57,51,-0.22,-0.07,653.5,895.5,0.37,0.63,away,away,DC,7919,normal,field,0,55,0,SS Iyer,C ShamshuDCin,S Ravi,A Nanda Kishore,Feroz Shah Kotla
CSK,MI,MI,648,590,667,475,0.636363636,0.564705882,52,52,0.253,0.317,791,737.5,0.44,0.56,home,away,MI,7920,normal,field,0,0,8,RG Sharma,Chris Gaffaney,Nitin Menon,Anil Dandekar,Maharashtra Cricket Association Stadium
SRH,RR,SRH,621,549,690,637,0.485714286,0.53968254,39,43,0.284,-0.25,794,609.5,0.43,0.57,away,home,SRH,7921,normal,bat,0,11,0,KS Williamson,Bruce Oxenford,A Nanda Kishore,S Ravi,Sawai Mansingh Stadium
RCB,KKR,KKR,722,497,611,657,0.5,0.564102564,43,53,0.129,-0.07,653.5,895.5,0.45,0.55,away,away,KKR,7922,normal,field,0,0,6,CA Lynn,Nigel Llong,Anil Chaudhary,Virender Kumar Sharma,M Chinnaswamy Stadium
CSK,DC,DC,648,497,667,696,0.636363636,0.458333333,57,60,0.253,-0.22,791,653.5,0.69,0.31,home,away,CSK,7923,normal,field,0,13,0,SR Watson,C ShamshuDCin,Anil Dandekar,O Nandan,Maharashtra Cricket Association Stadium
RCB,MI,MI,722,590,611,475,0.5,0.564705882,44,46,0.129,0.317,653.5,737.5,0.38,0.62,away,away,RCB,7924,normal,field,0,14,0,TG Southee,Marais Erasmus,Nitin Menon,Yeshwant Barde,M Chinnaswamy Stadium
DC,RR,RR,497,549,696,637,0.458333333,0.53968254,62,81,-0.22,-0.25,653.5,609.5,0.375,0.625,away,away,DC,7925,normal,field,1,4,0,RR Pant,O Nandan,Virender Kumar Sharma,Bruce Oxenford,Feroz Shah Kotla
CSK,KKR,KKR,648,497,667,657,0.636363636,0.564102564,57,58,0.253,-0.07,791,895.5,0.625,0.375,away,home,KKR,7926,normal,field,0,0,6,SP Narine,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary,Eden Gardens
KXIP,MI,MI,572,590,446,475,0.411764706,0.564705882,51,40,-0.502,0.317,700,737.5,0.5,0.5,home,away,MI,7927,normal,field,0,0,6,AS Yadav,S Ravi,Anil Dandekar,C ShamshuDCin,Holkar Cricket Stadium
RCB,CSK,CSK,722,648,611,667,0.5,0.636363636,50,43,0.129,0.253,653.5,791,0.37,0.63,away,home,CSK,7928,normal,field,0,0,6,RA Jadeja,Nitin Menon,Yeshwant Barde,Marais Erasmus,Maharashtra Cricket Association Stadium
DC,SRH,DC,497,621,696,690,0.458333333,0.485714286,61,64,-0.22,0.284,653.5,794,0.4,0.6,away,home,SRH,7929,normal,bat,0,0,7,Rashid Khan,Bruce Oxenford,O Nandan,Virender Kumar Sharma,"Rajiv Gandhi International Stadium, Uppal"
MI,KKR,KKR,590,497,475,657,0.564705882,0.564102564,56,52,0.317,-0.07,737.5,895.5,0.76,0.24,home,away,MI,7930,normal,field,0,13,0,HH Pandya,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary,Wankhede Stadium
RR,KXIP,KXIP,549,572,637,446,0.53968254,0.411764706,51,36,-0.25,-0.502,609.5,700,0.6,0.4,away,home,KXIP,7931,normal,field,0,0,6,M Ur Rahman,C ShamshuDCin,S Ravi,Anil Dandekar,Holkar Cricket Stadium
SRH,RCB,RCB,621,722,690,611,0.485714286,0.5,41,56,0.284,0.129,794,653.5,0.6,0.4,home,away,SRH,7932,normal,field,0,5,0,KS Williamson,Bruce Oxenford,Virender Kumar Sharma,O Nandan,"Rajiv Gandhi International Stadium, Uppal"
RR,KXIP,RR,549,572,637,446,0.53968254,0.411764706,64,33,-0.25,-0.502,609.5,700,0.6,0.4,home,away,RR,7933,normal,bat,0,15,0,JC Buttler,Marais Erasmus,Nitin Menon,Yeshwant Barde,Sawai Mansingh Stadium
MI,KKR,KKR,590,497,475,657,0.564705882,0.564102564,47,47,0.317,-0.07,737.5,895.5,0.76,0.24,away,home,MI,7934,normal,field,0,102,0,Ishan Kishan,Anil Chaudhary,K Ananthapadmanabhan,Kumar Dharmasena,Eden Gardens
DC,SRH,DC,497,621,696,690,0.458333333,0.485714286,39,52,-0.22,0.284,653.5,794,0.4,0.6,away,away,SRH,7935,normal,bat,0,0,9,S Dhawan,C ShamshuDCin,Anil Dandekar,S Ravi,Feroz Shah Kotla
CSK,RR,CSK,648,549,667,637,0.636363636,0.53968254,59,58,0.253,-0.25,791,609.5,0.65,0.35,away,home,RR,7936,normal,bat,0,0,4,JC Buttler,Marais Erasmus,Yeshwant Barde,Nitin Menon,Sawai Mansingh Stadium
KKR,KXIP,KXIP,497,572,657,446,0.564102564,0.411764706,59,59,-0.07,-0.502,895.5,700,0.7,0.3,away,home,KKR,7937,normal,field,0,31,0,SP Narine,O Nandan,Virender Kumar Sharma,Bruce Oxenford,Holkar Cricket Stadium
DC,RCB,RCB,497,722,696,611,0.458333333,0.5,47,63,-0.22,0.129,653.5,653.5,0.33,0.67,away,away,RCB,7938,normal,field,0,0,5,AB de Villiers,Kumar Dharmasena,Anil Chaudhary,K Ananthapadmanabhan,Feroz Shah Kotla
SRH,CSK,CSK,621,648,690,667,0.485714286,0.636363636,32,53,0.284,0.253,794,791,0.33,0.67,away,home,CSK,7939,normal,field,0,0,8,AT Rayudu,Marais Erasmus,Yeshwant Barde,Anil Dandekar,Maharashtra Cricket Association Stadium
MI,RR,RR,590,549,475,637,0.564705882,0.53968254,54,59,0.317,-0.25,737.5,609.5,0.625,0.375,home,away,RR,7940,normal,field,0,0,7,JC Buttler,Nitin Menon,S Ravi,C ShamshuDCin,Wankhede Stadium
KXIP,RCB,RCB,572,722,446,611,0.411764706,0.5,48,68,-0.502,0.129,700,653.5,0.65,0.35,home,away,RCB,7941,normal,field,0,0,10,UT Yadav,Bruce Oxenford,Virender Kumar Sharma,O Nandan,Holkar Cricket Stadium
RR,KKR,KKR,549,497,637,657,0.53968254,0.564102564,69,52,-0.25,-0.07,609.5,895.5,0.6,0.4,away,home,KKR,7942,normal,field,0,0,6,Kuldeep Yadav,Kumar Dharmasena,Anil Chaudhary,Vineet Kulkarni,Eden Gardens
MI,KXIP,KXIP,590,572,475,446,0.564705882,0.411764706,63,58,0.317,-0.502,737.5,700,0.5,0.5,home,away,MI,7943,normal,field,0,3,0,JJ Bumrah,Marais Erasmus,Nitin Menon,Yeshwant Barde,Wankhede Stadium
RCB,SRH,SRH,722,621,611,690,0.5,0.485714286,44,56,0.129,0.284,653.5,794,0.4,0.6,away,away,RCB,7944,normal,field,0,14,0,AB de Villiers,S Ravi,Anil Dandekar,C ShamshuDCin,M Chinnaswamy Stadium
DC,CSK,CSK,497,648,696,667,0.458333333,0.636363636,43,45,-0.22,0.253,653.5,791,0.31,0.69,away,away,DC,7945,normal,field,0,34,0,HV Patel,Kumar Dharmasena,Vineet Kulkarni,O Nandan,Feroz Shah Kotla
RR,RCB,RR,549,722,637,611,0.53968254,0.5,50,56,-0.25,0.129,609.5,653.5,0.47,0.53,home,away,RR,7946,normal,bat,0,30,0,S Gopal,Bruce Oxenford,Virender Kumar Sharma,C ShamshuDCin,Sawai Mansingh Stadium
SRH,KKR,SRH,621,497,690,657,0.485714286,0.564102564,68,70,0.284,-0.07,794,895.5,0.33,0.67,home,away,KKR,7947,normal,bat,0,0,5,CA Lynn,Anil Chaudhary,S Ravi,Anil Dandekar,"Rajiv Gandhi International Stadium, Uppal"
DC,MI,DC,497,590,696,475,0.458333333,0.564705882,49,59,-0.22,0.317,653.5,737.5,0.45,0.55,away,away,DC,7948,normal,bat,0,11,0,A Mishra,Kumar Dharmasena,O Nandan,Vineet Kulkarni,Feroz Shah Kotla
KXIP,CSK,CSK,572,648,446,667,0.411764706,0.636363636,32,35,-0.502,0.253,700,791,0.41,0.59,away,home,CSK,7949,normal,field,0,0,5,L Ngidi,Nitin Menon,Yeshwant Barde,Marais Erasmus,Maharashtra Cricket Association Stadium
SRH,CSK,CSK,621,648,690,667,0.485714286,0.636363636,47,34,0.284,0.253,794,791,0.33,0.67,away,away,CSK,7950,normal,field,0,0,2,F du Plessis,Marais Erasmus,C ShamshuDCin,S Ravi,Wankhede Stadium
KKR,RR,RR,497,549,657,637,0.564102564,0.53968254,53,52,-0.07,-0.25,895.5,609.5,0.4,0.6,home,away,KKR,7951,normal,field,0,25,0,AD Russell,Nitin Menon,Anil Chaudhary,Kumar Dharmasena,Eden Gardens
SRH,KKR,KKR,621,497,690,657,0.485714286,0.564102564,47,69,0.284,-0.07,794,895.5,0.33,0.67,away,home,SRH,7952,normal,field,0,14,0,Rashid Khan,Nitin Menon,Kumar Dharmasena,Anil Chaudhary,Eden Gardens
SRH,CSK,CSK,621,648,690,667,0.485714286,0.636363636,45,37,0.284,0.253,794,791,0.33,0.67,away,away,CSK,7953,normal,field,0,0,8,SR Watson,Marais Erasmus,S Ravi,Nitin Menon,Wankhede Stadium
RCB,CSK,CSK,641,658,569,700,0.506493506,0.649350649,35,17,-0.607,0.131,560.5,764,0.33,0.67,away,home,CSK,11137,normal,field,0,0,7,Harbhajan Singh,Bruce Oxenford,Anil Dandekar,Nitin Menon,M. A. Chidambaram Stadium
SRH,KKR,KKR,610,589,661,406,0.5,0.563218391,58,47,0.577,0.028,694.5,756,0.4,0.6,away,home,KKR,11138,normal,field,0,0,6,AD Russell,Chris Gaffaney,Anil Chaudhary,Vineet Kulkarni,Eden Gardens
DC,MI,MI,537,616,810,759,0,0.555555556,47,48,0.044,0.421,677,830,0.5,0.5,away,home,DC,11139,normal,field,0,37,0,RR Pant,S Ravi,Yeshwant Barde,O Nandan,Wankhede Stadium
KXIP,RR,RR,656,743,446,608,0.426666667,0.536231884,35,64,-0.251,-0.449,657,568,0.41,0.59,away,home,KXIP,11140,normal,field,0,14,0,CH Gayle,C ShamshuDCin,KN Anantapadmanabhan,Bruce Oxenford,Sawai Mansingh Stadium
DC,CSK,DC,537,658,810,700,0,0.649350649,45,62,0.044,0.131,677,764,0.33,0.67,away,away,CSK,11141,normal,bat,0,0,6,SR Watson,Marais Erasmus,Nitin Menon,Anil Dandekar,Feroz Shah Kotla Ground
KKR,KXIP,KXIP,589,656,406,446,0.563218391,0.426666667,54,53,0.028,-0.251,756,657,0.65,0.35,home,away,KKR,11142,normal,field,0,28,0,AD Russell,Anil Chaudhary,Vineet Kulkarni,Chris Gaffaney,Eden Gardens
MI,RCB,RCB,616,641,759,569,0.555555556,0.506493506,52,60,0.421,-0.607,830,560.5,0.61,0.39,away,away,MI,11143,normal,field,0,6,0,JJ Bumrah,S Ravi,O Nandan,Yeshwant Barde,M. Chinnaswamy Stadium
RR,SRH,RR,743,610,608,661,0.536231884,0.5,36,74,-0.449,0.577,568,694.5,0.44,0.56,away,home,SRH,11144,normal,bat,0,0,5,Rashid Khan,Bruce Oxenford,C ShamshuDCin,KN Anantapadmanabhan,Rajiv Gandhi Intl. Cricket Stadium
MI,KXIP,KXIP,616,656,759,446,0.555555556,0.426666667,66,38,0.421,-0.251,830,657,0.55,0.45,away,home,KXIP,11145,normal,field,0,0,8,MA Agarwal,Vineet Kulkarni,Chris Gaffaney,Anil Chaudhary,IS Bindra Stadium
KKR,DC,DC,589,537,406,810,0.563218391,0,37,46,0.028,0.044,756,677,0.62,0.38,away,away,DC,11146,tie,field,0,0,0,P Shaw,Anil Dandekar,Nitin Menon,Marais Erasmus,Feroz Shah Kotla Ground
SRH,RCB,RCB,610,641,661,569,0.5,0.506493506,59,34,0.577,-0.607,694.5,560.5,0.58,0.42,home,away,SRH,11147,normal,field,0,118,0,J Bairstow,S Ravi,KN Anantapadmanabhan,C ShamshuDCin,Rajiv Gandhi Intl. Cricket Stadium
CSK,RR,RR,658,743,700,608,0.649350649,0.536231884,29,48,0.131,-0.449,764,568,0.63,0.37,home,away,CSK,11148,normal,field,0,8,0,MS Dhoni,O Nandan,Yeshwant Barde,Bruce Oxenford,M. A. Chidambaram Stadium
KXIP,DC,DC,656,537,446,810,0.426666667,0,54,54,-0.251,0.044,657,677,0.59,0.41,home,away,KXIP,11149,normal,field,0,14,0,S Curran,Anil Chaudhary,Chris Gaffaney,Vineet Kulkarni,IS Bindra Stadium
RCB,RR,RR,641,743,569,608,0.506493506,0.536231884,51,61,-0.607,-0.449,560.5,568,0.47,0.53,away,home,RR,11150,normal,field,0,0,7,S Gopal,Marais Erasmus,Anil Dandekar,Nitin Menon,Sawai Mansingh Stadium
MI,CSK,CSK,616,658,759,700,0.555555556,0.649350649,42,36,0.421,0.131,830,764,0.54,0.46,home,away,MI,11151,normal,field,0,37,0,HH Pandya,Bruce Oxenford,Rod Tucker,Yeshwant Barde,Wankhede Stadium
DC,SRH,SRH,537,610,810,661,0,0.5,37,71,0.044,0.577,677,694.5,0.33,0.67,away,away,SRH,11152,normal,field,0,0,5,J Bairstow,C ShamshuDCin,KN Anantapadmanabhan,S Ravi,Feroz Shah Kotla Ground
RCB,KKR,KKR,641,589,569,406,0.506493506,0.563218391,53,66,-0.607,0.028,560.5,756,0.41,0.59,away,away,KKR,11153,normal,field,0,0,5,AD Russell,Anil Chaudhary,Chris Gaffaney,O Nandan,M. Chinnaswamy Stadium
CSK,KXIP,CSK,658,656,700,446,0.649350649,0.426666667,55,47,0.131,-0.251,764,657,0.58,0.42,home,away,CSK,11309,normal,bat,0,22,0,Harbhajan Singh,KN Ananthapadmanabhan,Rod Tucker,C ShamshuDCin,M. A. Chidambaram Stadium
MI,SRH,SRH,616,610,759,661,0.555555556,0.5,30,41,0.421,0.577,830,694.5,0.42,0.58,away,home,MI,11310,normal,field,0,40,0,A Joseph,Anil Dandekar,Nitin Menon,Marais Erasmus,Rajiv Gandhi Intl. Cricket Stadium
RCB,DC,DC,641,537,569,810,0.506493506,0,43,60,-0.607,0.044,560.5,677,0.67,0.33,away,away,DC,11311,normal,field,0,0,4,K Rabada,S Ravi,Yeshwant Barde,O Nandan,M. Chinnaswamy Stadium
RR,KKR,KKR,743,589,608,406,0.536231884,0.563218391,28,67,-0.449,0.028,568,756,0.5,0.5,home,away,KKR,11312,normal,field,0,0,8,H Gurney,Chris Gaffaney,Anil Chaudhary,Bruce Oxenford,Sawai Mansingh Stadium
SRH,KXIP,KXIP,610,656,661,446,0.5,0.426666667,35,38,0.577,-0.251,694.5,657,0.75,0.25,away,home,KXIP,11313,normal,field,0,0,6,KL Rahul,Marais Erasmus,Anil Dandekar,Nitin Menon,IS Bindra Stadium
KKR,CSK,CSK,589,658,406,700,0.563218391,0.649350649,33,42,0.028,0.131,756,764,0.39,0.61,away,home,CSK,11314,normal,field,0,0,7,DL Chahar,Rod Tucker,C ShamshuDCin,Ulhas Gandhe,M. A. Chidambaram Stadium
KXIP,MI,MI,656,616,446,759,0.426666667,0.555555556,50,50,-0.251,0.421,657,830,0.45,0.55,away,home,MI,11315,normal,field,0,0,3,KA Pollard,Yeshwant Barde,S Ravi,O Nandan,Wankhede Stadium
RR,CSK,CSK,743,658,608,700,0.536231884,0.649350649,60,24,-0.449,0.131,568,764,0.37,0.63,home,away,CSK,11316,normal,field,0,0,4,MS Dhoni,Bruce Oxenford,Ulhas Gandhe,Chris Gaffaney,Sawai Mansingh Stadium
KKR,DC,DC,589,537,406,810,0.563218391,0,42,57,0.028,0.044,756,677,0.62,0.38,home,away,DC,11317,normal,field,0,0,7,S Dhawan,Yeshwant Barde,O Nandan,Rod Tucker,Eden Gardens
MI,RR,RR,616,743,759,608,0.555555556,0.536231884,57,60,0.421,-0.449,830,568,0.55,0.45,home,away,RR,11318,normal,field,0,0,4,JC Buttler,Nitin Menon,Nanda Kishore,Marais Erasmus,Wankhede Stadium
KXIP,RCB,RCB,656,641,446,569,0.426666667,0.506493506,60,63,-0.251,-0.607,657,560.5,0.55,0.45,home,away,RCB,11319,normal,field,0,0,8,AB de Villiers,S Ravi,Ulhas Gandhe,Nigel Llong,IS Bindra Stadium
KKR,CSK,CSK,589,658,406,700,0.563218391,0.649350649,53,44,0.028,0.131,756,764,0.39,0.61,home,away,CSK,11320,normal,field,0,0,5,Imran Tahir,Rod Tucker,O Nandan,Yeshwant Barde,Eden Gardens
DC,SRH,SRH,537,610,810,661,0,0.5,53,41,0.044,0.577,677,694.5,0.33,0.67,away,home,DC,11321,normal,field,0,39,0,K Paul,Anil Chaudhary,Bruce Oxenford,Chris Gaffaney,Rajiv Gandhi Intl. Cricket Stadium
RCB,MI,MI,641,616,569,759,0.506493506,0.555555556,50,69,-0.607,0.421,560.5,830,0.39,0.61,away,home,MI,11322,normal,field,0,0,5,SL Malinga,Marais Erasmus,Nitin Menon,Nanda Kishore,Wankhede Stadium
KXIP,RR,RR,656,743,446,608,0.426666667,0.536231884,43,62,-0.251,-0.449,657,568,0.41,0.59,home,away,KXIP,11323,normal,field,0,12,0,R Ashwin,Anil Chaudhary,Vineet Kulkarni,S Ravi,IS Bindra Stadium
CSK,SRH,CSK,658,610,700,661,0.649350649,0.5,44,69,0.131,0.577,764,694.5,0.8,0.2,away,home,SRH,11324,normal,bat,0,0,6,DA Warner,Ian Gould,Ulhas Gandhe,C ShamshuDCin,Rajiv Gandhi Intl. Cricket Stadium
MI,DC,MI,616,537,759,810,0.555555556,0,59,48,0.421,0.044,830,677,0.5,0.5,away,away,MI,11325,normal,bat,0,40,0,HH Pandya,Nigel Llong,Bruce Oxenford,Anil Chaudhary,Feroz Shah Kotla Ground
RCB,KKR,KKR,641,589,569,406,0.506493506,0.563218391,44,41,-0.607,0.028,560.5,756,0.41,0.59,away,home,RCB,11326,normal,field,0,10,0,V Kohli,Ian Gould,Nitin Menon,Anil Dandekar,Eden Gardens
MI,RR,RR,616,743,759,608,0.555555556,0.536231884,52,65,0.421,-0.449,830,568,0.55,0.45,away,home,RR,11327,normal,field,0,0,5,SPD Smith,S Ravi,Yeshwant Barde,O Nandan,Sawai Mansingh Stadium
KXIP,DC,DC,656,537,446,810,0.426666667,0,50,60,-0.251,0.044,657,677,0.59,0.41,away,away,DC,11328,normal,field,0,0,5,SS Iyer,Ulhas Gandhe,C ShamshuDCin,Bruce Oxenford,Feroz Shah Kotla Ground
KKR,SRH,SRH,589,610,406,661,0.563218391,0.5,62,76,0.028,0.577,756,694.5,0.6,0.4,away,home,SRH,11329,normal,field,0,0,9,K Ahmed,Nitin Menon,Nigel Llong,Ian Gould,Rajiv Gandhi Intl. Cricket Stadium
RCB,CSK,CSK,641,658,569,700,0.506493506,0.649350649,50,38,-0.607,0.131,560.5,764,0.33,0.67,away,away,RCB,11330,normal,field,0,1,0,PA Patel,Vineet Kulkarni,Rod Tucker,Anil Chaudhary,M. Chinnaswamy Stadium
